,AUTEURS,DATES,LIENS,RUBRIQUES
0,Cognos, 08/07/2004,https://www.decideo.fr/COGNOS-PROPOSE-UNE-NOUVELLE-INTERFACE-EXCEL-POUR-COGNOS-ENTREPRISE-PLANNING-SERIES_a43.html,comunique
0,Pierre Audoin Consultants, 10/08/2004,https://www.decideo.fr/BUSINESS-INTELLIGENCE-une-annee-2003-moins-dynamique-que-prevu_a8.html,comunique
0,Miriad Technologies, 16/08/2004,https://www.decideo.fr/Miriad-Technologies-lance-sa-nouvelle-offre-MD-Intelligence_a10.html,comunique
0,Cognos, 20/08/2004,https://www.decideo.fr/ESSELTE-rationnalise-son-activite-grace-a-Cognos-Enterprise-Business-Intelligence_a9.html,comunique
0,Ascential Software, 24/08/2004,https://www.decideo.fr/Harley-Davidson-opte-pour-la-solution-d-integration-de-donnees-a-la-demande-de-Ascential-Software_a12.html,comunique
0,Actuate, 24/08/2004,https://www.decideo.fr/Actuate-rejoint-la-fondation-Eclipse-en-tant-que-Developpeur-strategique-et-Membre-executif_a37.html,comunique
0,Imation, 25/08/2004,https://www.decideo.fr/Imation-presente-la-technologie-Tera-Angstrom-dediee-au-developpement-des-cartouches-magnetiques-d-un-teraoctet_a14.html,comunique
0,Informatica, 25/08/2004,https://www.decideo.fr/IDC-PLACE-INFORMATICA-EN-TETE-DU-MARCHE-DE-L-INTEGRATION-DE-DATA-WAREHOUSE-POUR-LA-QUATRIEME-ANNEE-CONSECUTIVE_a15.html,comunique
0,Unisys, 26/08/2004,https://www.decideo.fr/Les-directeurs-informatiques-comptent-sur-la-standardisation-pour-sortir-du-labyrinthe-decisionnel_a32.html,comunique
0,Nstein Technologies, 27/08/2004,https://www.decideo.fr/Nstein-Technologies-negocie-l-acquisition-d-Alis-Technologies_a36.html,comunique
0,SAS, 27/08/2004,https://www.decideo.fr/SAS-annonce-SAS-Web-Analytics-sa-solution-strategique-pour-le-e-marketing_a56.html,comunique
